"tractid","total_population00","white_alone00","educational_attainment00","median_income00","median_rent00","income_category00","non_white00","total_population20","median_income20","median_home_value20","educational_attainment20","white_alone20","black_alone20","native_alone20","asian_alone20","native_hawaiian_pacific_islander20","some_other_race_alone20","two_or_more20","hispanic_or_latino20","income_category20","non_white_population20"
36005006200,6399,87,256,22217,410,"Low Income",6312,7268,24152,107900,280,11,2205,58,164,0,0,1,4861,"Low Income",7289
36005006300,5815,163,235,27761,651,"Low Income",5652,4298,30524,235500,760,349,817,25,232,0,23,34,2843,"Moderate Income",3974
36005006400,3833,37,335,35500,741,"Moderate Income",3796,3309,31782,509500,388,134,1351,34,53,0,18,248,1505,"Moderate Income",3209
36005006500,4789,232,310,19961,512,"Low Income",4557,5471,25526,0,329,276,1547,0,76,0,20,0,3552,"Low Income",5195
36005006700,6491,167,67,22256,354,"Low Income",6324,7314,20972,346600,345,12,2570,0,0,53,0,0,4679,"Low Income",7302
36005006800,3132,14,210,33191,768,"Moderate Income",3118,3435,48730,461500,323,106,1279,62,390,0,9,8,1593,"Moderate Income",3341
36005006900,4400,147,139,10868,295,"Low Income",4253,8351,27950,505600,972,289,3170,30,108,0,0,190,4594,"Low Income",8092
36005007000,4084,184,326,35081,708,"Moderate Income",3900,4899,36016,430100,380,133,1160,46,460,0,57,197,2846,"Moderate Income",4766
36005007100,1961,15,107,37891,379,"Moderate Income",1946,2702,38600,232400,387,58,870,7,28,0,20,27,1699,"Moderate Income",2651
36005007200,5369,426,508,33777,681,"Moderate Income",4943,5520,37271,386800,779,304,1029,92,1425,0,10,307,2445,"Moderate Income",5308
36005007300,3248,6,74,20087,494,"Low Income",3242,4139,19935,0,132,72,1369,0,0,36,0,26,2636,"Low Income",4067
36005007400,3263,89,494,42288,658,"Moderate Income",3174,3466,36567,352400,462,90,1081,0,0,0,22,81,2192,"Moderate Income",3376
36005007500,4688,47,211,23321,450,"Low Income",4641,6039,26868,337100,475,85,2221,139,0,0,0,10,3643,"Low Income",6013
36005007600,4902,193,367,35218,684,"Moderate Income",4709,5142,33108,506400,269,213,863,14,554,0,43,99,3370,"Moderate Income",4943
36005007700,1547,19,29,20521,592,"Low Income",1528,2087,34516,376300,205,42,463,12,0,0,0,0,1570,"Moderate Income",2045
36005007800,6458,596,463,39387,717,"Moderate Income",5862,7035,40129,414200,615,234,1387,0,422,0,233,0,4759,"Moderate Income",6801
36005007900,6598,149,179,17988,385,"Low Income",6449,7051,26438,0,255,20,1752,0,0,32,0,52,5195,"Low Income",7031
36005008300,6204,45,162,26799,504,"Low Income",6159,6575,27136,392300,582,29,1121,26,267,0,15,34,5109,"Low Income",6572
36005008400,2167,43,190,39821,893,"Moderate Income",2124,2809,77885,448600,388,52,647,129,231,0,25,15,1722,"High Income",2769
36005008500,5335,85,214,18036,401,"Low Income",5250,6587,30898,264200,554,53,1243,13,6,0,37,8,5240,"Moderate Income",6547
36005008600,4381,73,97,17891,300,"Low Income",4308,4046,22704,399200,252,47,1103,0,82,0,0,30,2784,"Low Income",3999
36005008700,5208,42,151,22322,515,"Low Income",5166,6093,27099,0,312,142,1376,65,20,0,19,56,4435,"Low Income",5971
36005008900,3012,25,136,23049,429,"Low Income",2987,3373,24821,0,274,53,746,49,12,0,0,0,2562,"Low Income",3369
36005009000,3642,150,174,19981,280,"Low Income",3492,3877,30250,412400,325,151,1038,36,48,0,29,49,2526,"Moderate Income",3726
36005009200,4754,585,467,40661,702,"Moderate Income",4169,6202,44318,467200,790,141,1055,0,914,0,339,269,3484,"Moderate Income",6061
36005009300,5517,93,112,19864,534,"Low Income",5424,6424,32565,444700,385,50,1872,31,0,0,0,8,4482,"Moderate Income",6393
36005009600,1947,249,194,49020,830,"Moderate Income",1698,2607,49130,382300,340,158,586,22,426,0,47,9,1381,"Moderate Income",2471
36005009800,5460,339,556,45670,675,"Moderate Income",5121,5189,63267,425900,989,103,1095,0,229,0,111,15,3636,"High Income",5086
36005011502,4124,12,63,16091,496,"Low Income",4112,4568,22365,393500,279,34,1490,0,0,0,30,0,3014,"Low Income",4534
36005011700,1725,10,31,18102,599,"Low Income",1715,1616,23125,0,150,13,490,15,0,0,0,0,1113,"Low Income",1618
36005011800,5097,4278,714,64258,791,"High Income",819,5220,81667,420200,771,3646,161,0,229,7,0,24,1153,"High Income",1574
36005011900,4793,55,122,20000,413,"Low Income",4738,5474,25261,435100,208,22,1581,32,12,0,25,63,3749,"Low Income",5462
36005012101,2802,37,155,19939,561,"Low Income",2765,2970,28777,418400,221,99,842,7,29,0,51,44,1905,"Low Income",2878
36005012102,1695,47,24,17765,384,"Low Income",1648,1561,20559,0,84,16,202,0,0,0,0,6,1337,"Low Income",1545
36005012300,2927,40,95,21923,364,"Low Income",2887,3995,23590,422900,326,69,1190,3,39,0,0,11,2683,"Low Income",3926
36005012500,2264,48,184,37708,542,"Moderate Income",2216,4510,31336,414400,421,59,1380,56,77,0,0,10,2952,"Moderate Income",4475
36005012701,2268,57,77,12192,347,"Low Income",2211,1982,20859,346000,198,46,390,29,77,0,0,0,1440,"Low Income",1936
36005012901,2814,51,99,14364,357,"Low Income",2763,4504,23255,467200,256,67,1539,0,38,0,42,15,2803,"Low Income",4437
36005013000,1123,770,130,51346,757,"Moderate Income",353,1520,76771,448800,316,637,52,0,0,0,0,5,826,"High Income",883
36005013100,3519,65,182,14762,473,"Low Income",3454,5240,36500,415200,392,30,1641,0,7,0,16,28,3518,"Moderate Income",5210
36005013200,5597,3283,627,68064,814,"High Income",2314,7202,106731,455300,1833,2002,1028,0,333,0,0,40,3799,"Very High Income",5200
36005013300,6047,25.5,237,17933,317,"Low Income",6021.5,5934,21923,0,392,65,1934,229,237,0,43,0,3446,"Low Income",5889
36005013500,3126,18,96,16588,396,"Low Income",3108,3717,23689,257400,262,19,1285,11,0,0,0,76,2337,"Low Income",3709
36005013800,1964,1205,229,56953,782,"Moderate Income",759,2480,76600,285100,356,1624,85,0,132,0,0,20,619,"High Income",856
36005014100,2227,8,43,12806,518,"Low Income",2219,5795,28451,277300,608,22,2063,48,17,0,6,82,3605,"Low Income",5821
36005014300,748,7,13,9893,457,"Low Income",741,1193,15060,329500,145,62,663,0,37,0,12,12,407,"Low Income",1131
36005014400,5624,524,237,27203,364,"Low Income",5100,5417,21508,452400,409,189,1856,0,111,0,0,12,3249,"Low Income",5228
36005014500,4878,24,212,17205,369,"Low Income",4854,7919,28732,0,358,101,2989,52,7,0,91,0,4696,"Low Income",7835
36005014701,5946,10,140,12951,273,"Low Income",5936,7637,21436,0,379,43,3440,0,0,0,0,0,4154,"Low Income",7594
36005014702,4979,9,119,12951,273,"Low Income",4970,5511,19425,0,352,80,2206,48,0,0,23,18,3184,"Low Income",5479
36005014900,3668,29,116,19647,490,"Low Income",3639,4423,24874,0,378,107,1688,0,13,0,0,21,2594,"Low Income",4316
36005015100,4743,18,230,20064,586,"Low Income",4725,5086,33525,423900,405,49,2274,0,0,0,26,14,2723,"Moderate Income",5037
36005015200,2359,1389,240,60417,858,"High Income",970,2828,73622,453800,498,720,226,0,122,0,10,15,1735,"High Income",2108
36005015300,2962,9,129,20511,451,"Low Income",2953,4847,17154,375200,594,54,2131,0,47,0,0,0,2615,"Low Income",4793
36005015500,2830,30,122,25365,368,"Low Income",2800,3016,17912,456000,257,10,472,0,42,0,9,0,2483,"Low Income",3006
36005015700,3517,24.5,125,25386,576,"Low Income",3492.5,4515,34738,457900,473,36,980,0,66,0,0,0,3433,"Moderate Income",4479
36005015800,1268,804,96,43015,867,"Moderate Income",464,1234,48289,446300,204,446,75,0,24,0,0,30,659,"Moderate Income",788
36005015900,2181,14.5,97,21933,310,"Low Income",2166.5,1862,17905,363900,63,11,96,19,18,0,6,0,1731,"Low Income",1870
36005016000,5196,4547,667,52719,791,"Moderate Income",649,3760,73841,411800,818,2247,64,0,90,0,66,18,1275,"High Income",1513
36005016100,4755,34,151,22011,445,"Low Income",4721,4417,14667,0,343,9,1284,0,0,0,0,0,3124,"Low Income",4408
36005016200,1682,1216,182,53684,876,"Moderate Income",466,1984,71319,396600,286,766,88,43,7,0,0,10,1070,"High Income",1218
36005016400,1185,965,138,51250,774,"Moderate Income",220,1031,78750,470000,211,696,69,0,0,0,0,0,266,"High Income",335
36005016500,1407,43,62,13082,564,"Low Income",1364,996,25403,0,106,0,412,0,7,0,0,0,577,"Low Income",996
36005016600,1760,1067,165,51657,811,"Moderate Income",693,2324,76328,461800,375,624,100,0,170,0,51,17,1362,"High Income",1700
36005016700,1821,5,8,13295,644,"Low Income",1816,3269,29549,420400,255,20,1356,17,0,0,0,31,1862,"Low Income",3266
36005016900,1852,8,69,20653,608,"Low Income",1844,1440,28064,443000,88,35,731,0,0,0,0,0,674,"Low Income",1405
36005017300,4842,58,132,24516,555,"Low Income",4784,5615,19406,418200,339,71,1121,10,374,0,0,36,4003,"Low Income",5544
36005017500,6466,30,214,18301,378,"Low Income",6436,7140,27585,0,392,72,2270,329,14,0,83,84,4356,"Low Income",7136
36005017701,3499,117,100,18170,558,"Low Income",3382,4857,28090,485200,294,36,1346,0,8,0,0,25,3442,"Low Income",4821
36005017702,4620,156,134,18170,558,"Low Income",4464,5522,29327,395700,588,61,1634,0,110,0,44,144,3529,"Low Income",5461
36005017901,4090,31,140,16630,596,"Low Income",4059,5071,30587,332100,414,15,1106,226,77,0,0,0,3687,"Moderate Income",5096
36005017902,4135,33,143,16630,596,"Low Income",4102,4007,19396,0,237,45,1472,59,0,0,59,48,2383,"Low Income",4021
36005018101,3813,59,201,23779,631,"Low Income",3754,2973,24594,482000,122,2,1103,0,0,0,12,20,1836,"Low Income",2971
36005018102,4760,74,252,23779,631,"Low Income",4686,6247,35593,367700,644,173,2232,0,253,0,77,11,3501,"Moderate Income",6074
36005018301,3155,82,291,31635,665,"Moderate Income",3073,3971,30990,262700,834,121,1516,8,258,0,51,14,2011,"Moderate Income",3858
36005018302,5222,138,484,31635,665,"Moderate Income",5084,3589,33226,156000,401,101,1215,22,15,0,0,34,2224,"Moderate Income",3510
36005018400,3728,3163,470,51507,768,"Moderate Income",565,3780,65099,445800,798,2047,66,0,38,13,8,44,1564,"High Income",1733
36005018500,4777,86,199,24781,512,"Low Income",4691,8449,32680,489500,682,93,3639,146,0,0,0,138,4579,"Moderate Income",8502
36005018900,6918,94,273,24382,580,"Low Income",6824,8518,26370,326200,658,186,2256,17,0,0,46,15,6015,"Low Income",8349
36005019300,5596,93,198,16077,441,"Low Income",5503,5853,22761,0,476,16,2070,31,14,0,0,0,3722,"Low Income",5837
36005019400,1596,742,169,57969,858,"Moderate Income",854,2291,55625,395400,350,417,287,13,45,9,0,64,1456,"Moderate Income",1874
36005019500,7327,55,281,22049,652,"Low Income",7272,7352,28365,192600,864,63,1783,0,14,0,17,91,5384,"Low Income",7289
36005019700,7754,95,242,22273,659,"Low Income",7659,7489,25302,0,377,46,1436,68,559,30,113,96,5209,"Low Income",7511
36005019900,7880,91,249,23680,597,"Low Income",7789,8763,33528,0,966,173,2487,0,0,0,109,0,5994,"Moderate Income",8590
36005020000,3944,693,414,32725,618,"Moderate Income",3251,4671,43088,4e+05,551,96,235,57,1420,19,18,0,2883,"Moderate Income",4632
36005020100,3330,77,147,23438,608,"Low Income",3253,4909,33938,0,372,199,1359,0,27,0,0,0,3324,"Moderate Income",4710
36005020200,1823,417,177,36853,646,"Moderate Income",1406,2257,29868,476700,269,191,354,0,300,0,2,48,1362,"Low Income",2066
36005020400,2884,578,256,41500,764,"Moderate Income",2306,3264,45179,445700,338,278,255,0,355,0,34,9,2333,"Moderate Income",2986
36005020501,5589,99,260,23431,507,"Low Income",5490,7400,20586,580700,584,14,2117,150,17,0,0,0,5252,"Low Income",7536
36005020502,3968,71,186,23431,503,"Low Income",3897,2034,14821,417500,202,20,668,0,5,0,0,4,1337,"Low Income",2014
36005020601,2321,562,197,40658,576,"Moderate Income",1759,2816,50952,397900,315,113,310,0,890,0,94,267,1142,"Moderate Income",2703
36005020900,4838,116,225,20873,565,"Low Income",4722,4784,28438,0,578,117,1733,0,0,0,32,0,2902,"Low Income",4667
36005021001,8328,537,990,35507,696,"Moderate Income",7791,9511,51457,159400,1565,197,4321,69,631,0,76,126,4112,"Moderate Income",9335
36005021002,7476,483,889,35507,696,"Moderate Income",6993,7201,55091,121200,1451,81,3743,0,1199,0,11,76,2091,"Moderate Income",7120
36005021100,4584,135,192,18314,603,"Low Income",4449,5157,27539,393800,296,11,1934,20,6,0,9,13,3184,"Low Income",5166
36005021200,5232,339,611,37765,678,"Moderate Income",4893,5202,57679,1e+05,1124,57,1976,35,1179,0,10,120,1860,"Moderate Income",5180
36005021301,1502,4,39,14816,448,"Low Income",1498,1160,20595,235500,121,65,144,0,0,5,0,0,946,"Low Income",1095
36005021302,3970,30,146,24444,611,"Low Income",3940,6337,31714,0,550,41,2624,0,71,0,0,0,3601,"Moderate Income",6296
36005021501,3690,22,112,19886,490,"Low Income",3668,4887,27102,0,392,12,1221,8,0,0,31,0,3623,"Low Income",4883
36005021502,6726,103,131,16445,576,"Low Income",6623,6687,24256,381900,470,29,1568,10,0,0,20,20,5050,"Low Income",6668
36005021601,4460,466,261,33214,685,"Moderate Income",3994,4428,30160,438800,305,391,995,39,170,0,157,83,2632,"Moderate Income",4076
36005021602,5107,373,665,35784,685,"Moderate Income",4734,5617,46453,126800,1248,47,1692,57,1330,0,0,279,2235,"Moderate Income",5593
36005021700,4797,132,204,18281,564,"Low Income",4665,5438,27823,366700,328,58,2483,32,21,7,0,0,2837,"Low Income",5380
36005021800,6648,392,331,28508,661,"Low Income",6256,6765,37008,439300,583,189,1946,0,159,0,0,19,4452,"Moderate Income",6576
36005021900,1279,17,87.5,22798,601,"Low Income",1262,1118,23370,0,93,18,26,6,4,0,0,0,1064,"Low Income",1100
36005022000,1393,32,30,16932,592,"Low Income",1361,2410,27969,0,142,43,564,0,162,0,0,10,1631,"Low Income",2367
36005022101,3908,114,78,20396,606,"Low Income",3794,3927,26732,0,322,5,667,0,182,0,23,33,3017,"Low Income",3922
36005022102,4534,133,91,20396,606,"Low Income",4401,5453,21933,604200,323,76,849,9,29,0,115,97,4287,"Low Income",5386
36005022200,3078,331,310,33931,748,"Moderate Income",2747,3262,40811,323400,343,191,423,6,700,0,65,42,1841,"Moderate Income",3077
36005022300,5270,114,245,20698,558,"Low Income",5156,5275,26000,0,241,95,733,0,11,0,15,199,4222,"Low Income",5180
36005022401,2546,815,259,32335,733,"Moderate Income",1731,2625,43150,127500,476,225,597,21,244,0,90,0,1469,"Moderate Income",2421
36005022403,4089,1360,518,33958,733,"Moderate Income",2729,3651,38875,188300,576,455,597,27,0,0,11,62,2526,"Moderate Income",3223
36005022404,3038,1011,386,33958,733,"Moderate Income",2027,4186,39651,112500,886,996,930,117,307,0,16,90,1798,"Moderate Income",3258
36005022500,6945,96,205,20755,669,"Low Income",6849,8570,31281,0,436,84,2370,31,190,0,0,13,5913,"Moderate Income",8517
36005022701,2984,38,73,17977,601,"Low Income",2946,5702,31368,0,840,90,1865,0,160,0,0,18,3569,"Moderate Income",5612
36005022702,2077,38,42,19656,669,"Low Income",2039,1534,31778,0,226,0,436,0,118,0,25,0,955,"Moderate Income",1534
36005022703,1767,22,196,25498,652,"Low Income",1745,1841,49602,0,392,130,348,0,237,0,7,6,1113,"Moderate Income",1711
36005022800,5788,2009,992,38906,708,"Moderate Income",3779,6023,52447,496700,1162,1156,1070,0,550,0,0,39,3208,"Moderate Income",4867
36005022901,5546,105,257,23925,648,"Low Income",5441,5922,28500,697100,528,157,1737,60,61,18,55,182,3652,"Low Income",5765
36005022902,3324,64,104,21558,626,"Low Income",3260,3537,31790,384200,335,30,985,0,7,0,18,66,2431,"Moderate Income",3507
36005023000,2877,694,200,30724,723,"Moderate Income",2183,2974,41341,502600,331,732,315,83,262,0,0,95,1570,"Moderate Income",2325
36005023100,1580,27,63,15294,693,"Low Income",1553,1570,18750,0,85,47,614,0,0,0,0,0,909,"Low Income",1523
36005023200,2305,993,200,33382,738,"Moderate Income",1312,2804,57708,450700,459,730,203,27,139,0,20,33,1670,"Moderate Income",2092
36005023301,4916,116,278,23222,624,"Low Income",4800,3919,24621,0,275,0,1249,15,14,0,0,25,2631,"Low Income",3934
36005023302,3487,63,279,28259,669,"Low Income",3424,3647,26641,0,228,44,613,4,62,0,0,0,2928,"Low Income",3607
36005023501,4405,123,224,26222,678,"Low Income",4282,3235,23311,0,218,23,521,7,32,0,98,11,2550,"Low Income",3219
36005023502,5178,91,144,23136,597,"Low Income",5087,4781,23529,423600,333,117,625,7,42,0,0,55,3942,"Low Income",4671
36005023600,1707,467,72,29191,631,"Low Income",1240,2110,38831,469200,160,656,193,0,135,0,0,0,1126,"Moderate Income",1454
36005023702,1378,25,37,13250,644,"Low Income",1353,1203,31500,0,48,15,242,13,3,0,0,0,943,"Moderate Income",1201
36005023703,5168,97,221,21190,653,"Low Income",5071,5746,32484,0,296,179,1089,17,108,0,20,10,4340,"Moderate Income",5584
36005023704,3466,66,149,21190,653,"Low Income",3400,4295,21394,0,301,20,794,30,17,0,26,28,3410,"Low Income",4305
36005023800,2391,939,269,32741,722,"Moderate Income",1452,2551,50625,514900,386,338,504,14,185,0,0,34,1490,"Moderate Income",2227
36005023900,8094,61,225,16296,600,"Low Income",8033,7547,21052,426100,531,0,1482,50,75,0,0,177,5763,"Low Income",7547
36005024000,3463,260,283,34271,730,"Moderate Income",3203,3986,34715,410300,410,189,1006,0,66,0,0,29,2696,"Moderate Income",3797
36005024100,5955,75,254,21414,607,"Low Income",5880,6378,30422,663800,543,202,1825,18,30,0,62,0,4259,"Moderate Income",6194
36005024300,5354,43,251,21778,518,"Low Income",5311,5446,20437,411800,208,43,1488,46,224,0,27,17,3647,"Low Income",5449
36005024400,2185,1475,278,48750,695,"Moderate Income",710,2276,52277,433800,458,864,104,19,96,0,0,0,1193,"Moderate Income",1412
36005024501,4485,57,136,21376,609,"Low Income",4428,5601,19040,341900,262,12,1031,0,57,0,44,0,4457,"Low Income",5589
36005024502,4055,52,123,21376,609,"Low Income",4003,3882,27813,385300,354,25,963,65,0,0,0,1,2893,"Low Income",3922
36005024600,2035,1372,397,62961,741,"High Income",663,2365,63500,555300,435,932,93,0,418,0,0,7,915,"High Income",1433
36005024700,3465,71,195,30720,664,"Moderate Income",3394,1884,43438,0,217,26,806,0,36,0,0,0,1016,"Moderate Income",1858
36005024800,3245,2296,651,59444,762,"Moderate Income",949,2998,57292,463300,654,1414,374,28,292,0,0,0,899,"Moderate Income",1593
36005025000,2248,1915,362,51477,762,"Moderate Income",333,2716,76111,441200,591,1361,36,0,393,0,0,44,882,"High Income",1355
36005025100,6639,103,294,28048,637,"Low Income",6536,6732,29559,541700,696,3,1198,0,794,0,0,43,4694,"Low Income",6729
36005025200,2462,1901,341,60515,789,"High Income",561,2780,63398,463900,530,1200,142,75,340,0,0,71,1027,"High Income",1655
36005025300,6402,141,226,20284,636,"Low Income",6261,6279,30069,225000,414,39,895,63,285,0,17,128,4852,"Moderate Income",6240
36005025400,1943,1617,309,61250,768,"High Income",326,2325,53110,469100,459,1346,80,27,201,0,35,32,631,"Moderate Income",1006
36005025500,6567,277,424,25328,630,"Low Income",6290,6523,32115,463800,607,227,747,209,0,0,0,54,5468,"Moderate Income",6478
36005025600,1787,911,260,38214,712,"Moderate Income",876,1536,43125,421900,171,410,203,0,178,0,0,16,729,"Moderate Income",1126
36005025700,2914,56,179,23905,639,"Low Income",2858,1941,34559,583300,270,45,365,18,5,0,21,0,1505,"Moderate Income",1914
36005026100,1533,175,455,62031,801,"High Income",1358,1969,68971,158300,697,66,1014,3,45,0,0,30,814,"High Income",1906
36005026300,7978,751,640,24479,680,"Low Income",7227,5993,28411,353000,503,435,1063,178,0,0,34,42,4277,"Low Income",5594
36005026400,4798,3554,609,61500,727,"High Income",1244,5519,61603,402700,1112,1875,357,0,596,0,0,44,2647,"High Income",3644
36005026500,6840,534,320,21732,649,"Low Income",6306,8499,34919,0,664,309,667,0,434,0,175,130,6784,"Moderate Income",8190
36005026601,2906,2203,329,44712,634,"Moderate Income",703,3377,53854,464400,540,1119,107,0,258,0,14,17,1862,"Moderate Income",2258
36005026602,5266,3490,594,47740,648,"Moderate Income",1776,5714,50300,346800,1037,2040,482,91,130,0,0,93,2944,"Moderate Income",3740
36005026701,3341,300,367,26176,700,"Low Income",3041,4101,42266,0,615,97,392,102,674,0,13,87,2838,"Moderate Income",4106
36005026702,7751,699,854,26176,700,"Low Income",7052,7115,35315,438600,827,170,1083,8,82,0,0,156,5624,"Moderate Income",6953
36005026900,4164,296,400,29527,613,"Low Income",3868,3802,38469,209300,562,29,527,35,143,0,53,54,2996,"Moderate Income",3808
36005027300,7943,836,649,27069,636,"Low Income",7107,7732,38018,0,1118,275,1373,19,181,0,0,129,5774,"Moderate Income",7476
36005027401,3120,2839,465,60417,857,"High Income",281,4961,93250,535800,1046,3593,67,0,161,0,0,0,1140,"Very High Income",1368
36005027402,5369,4886,801,60417,857,"High Income",483,3460,74063,497200,750,2463,27,0,107,0,9,57,797,"High Income",997
36005027700,5329,649,410,26283,654,"Low Income",4680,5674,39554,343400,526,562,700,115,153,0,38,10,4159,"Moderate Income",5175
36005027900,7199,2789,1507,48165,700,"Moderate Income",4410,7350,58472,151400,1715,1213,927,147,351,0,20,24,4668,"Moderate Income",6137
36005028100,3685,1884,864,51299,609,"Moderate Income",1801,4314,62958,33000,1205,1241,769,31,98,19,76,49,2042,"High Income",3084
36005028300,1938,276,190,28407,501,"Low Income",1662,2927,24745,0,349,285,758,0,0,0,0,5,1879,"Low Income",2642
36005028500,3308,1841,775,47853,690,"Moderate Income",1467,3377,60078,352100,1324,1672,98,17,323,0,12,51,1221,"High Income",1722
36005028600,1357,949,269,52800,813,"Moderate Income",408,1284,88000,456500,414,725,14,0,125,0,0,31,389,"High Income",559
36005028700,3070,963,617,41827,697,"Moderate Income",2107,3332,54531,509500,648,970,314,21,210,0,0,54,1784,"Moderate Income",2383
36005028800,3157,2583,737,65602,816,"High Income",574,3274,102601,539900,996,2290,175,0,262,0,0,0,547,"Very High Income",984
36005028900,4872,1529,565,32236,641,"Moderate Income",3343,4646,51414,305800,1041,777,216,0,125,0,196,40,3292,"Moderate Income",3869
36005029301,5099,3863,2426,88167,1073,"High Income",1236,1835,97955,380400,1071,1312,126,0,25,0,0,81,291,"Very High Income",523
36005029302,2278,1727,1057,86880,1057,"High Income",551,5838,100996,230700,2865,3776,463,0,138,0,19,129,1313,"Very High Income",2062
36005029500,4081,2818,1375,60330,896,"High Income",1263,4614,93839,314500,2068,2600,540,0,246,0,0,158,1070,"Very High Income",2014
36005029600,3801,1720,1927,48947,577,"Moderate Income",2081,1650,56064,439700,667,403,325,19,486,0,0,14,411,"Moderate Income",1255
36005029700,3657,2788,1340,75961,907,"High Income",869,3791,91099,335800,1922,2483,207,0,191,43,20,25,822,"Very High Income",1308
36005030000,5862,4041,823,53929,734,"Moderate Income",1821,5687,52546,449400,1205,1914,360,0,729,0,0,29,2655,"Moderate Income",3773
36005030100,1425,1148,482,94762,674,"Very High Income",277,1314,85500,288400,541,684,100,0,57,0,0,26,447,"High Income",630
36005030200,8551,1137,1333,50991,623,"Moderate Income",7414,9613,59105,28700,2259,549,5917,0,116,0,657,58,2316,"Moderate Income",9064
